Card ID,Beer Type,Style,Country,Description,IBU (Avg),ABV (Avg),Card Action,Hops,Grains,Yeast,Water,Special,Group Action
001,Abbay Ale,Trappist,Belgian,"Belgian Abbey Ales are brewed in the monastic tradition (though not always by monks themselves). They’re rich, complex ales with fruity esters, spicy phenols, and malty sweetness, often with a dry finish. Styles range from lighter blond and dubbel to darker, stronger tripel and quadrupel. They showcase yeast character more than hops.",25,7.5,,5,13,16,20,10,
002,Adambier,Strong Ale,German,"A strong, dark, smoky German ale dating back to the 13th century. Traditionally long-aged (sometimes with Brettanomyces), it has rich malt sweetness, noticeable smoke character, firm bitterness, and warming alcohol. It’s a rare style but considered a predecessor to modern strong ales and barleywines.",35,9,,8,15,12,20,7,
003,Altbier,Ale/Lager,German,"A copper to dark brown top-fermented ale, cold-conditioned like a lager. Clean, crisp, and smooth with balanced malt and hop character. Typically features toasty malt notes, restrained fruitiness, and firm noble hop bitterness. The name “Alt” (“old”) refers to the traditional ale brewing method compared to newer lagers.",32,5,,9,12,10,20,4,
004,American Adjunct Lager,Pale Lager,American,"A light-bodied, highly carbonated, easy-drinking pale lager brewed with adjunct grains (rice or corn) alongside barley malt. It has very mild malt and hop flavors, low bitterness, and a crisp, refreshing finish. Designed for maximum drinkability rather than complexity.",11,4.6,Ongoing: +1 Water when brewing this style.,3,10,8,20,12,
005,American Amber Ale,Ale,American,"A balanced, malt-forward ale with rich amber to reddish color. Caramel malt sweetness is prominent, often paired with citrusy or piney American hop character. It sits between pale ales and brown ales in strength and flavor, offering approachable bitterness with more malt depth than a pale ale.",32,5.3,Ongoing: +1 to your Grains when brewing this style.,10,14,9,20,4,
006,American Amber Lager,Amber/Dark Lager,American,"A smooth, malty lager with an amber to reddish-brown color. Balanced caramel and toasted malt character with moderate bitterness. Unlike amber ales, it has a cleaner fermentation profile from lager yeast, making it crisper and less fruity. It’s an approachable style that bridges malt sweetness with drinkability.",24,5.1,Ongoing: +1 Water when brewing this style.,7,13,8,20,4,
007,American Amber Light Lager,Light/Amber Lager,American,"A lighter-bodied version of the American Amber Lager. Amber to light reddish in color, with mild caramel malt flavor but noticeably reduced body, sweetness, and alcohol. Highly carbonated and refreshing, designed for easy drinking with just a touch of malt character. Often brewed with adjuncts (rice or corn) to keep it light.",13,4,,5,9,7,20,10,
008,American Barley Wine Ale,Strong Ale,American,"A bold, intensely flavored ale with very high alcohol content. American Barleywines are hop-forward compared to their English counterparts, featuring strong citrusy, piney, or resinous American hop character alongside rich malt sweetness. Deep amber to dark copper in color, full-bodied, warming, and meant for sipping. Often aged to develop complexity.",75,10,,15,16,12,20,3,
009,Cascadian Dark Ale,Dark Ale,American,"A dark, hoppy ale combining roasted malt character with assertive American hop flavors. Despite its dark appearance, it is not stout-like—roast is restrained to avoid overshadowing the hops. Expect citrusy, piney, or resinous hop aroma with a dry, moderately bitter finish and subtle chocolate or coffee notes from the malt.",60,6.7,,14,12,9,20,5,
010,American Black Lager,Dark Lager,American,"A smooth, dark lager with roasted malt flavor but a clean, crisp finish. Less heavy and less sweet than stouts or porters, with subtle chocolate or coffee notes and moderate bitterness. Designed to be highly drinkable despite its dark color.",27,5,Ongoing: +1 Grains when brewing this style.,7,13,8,20,4,
